customer_id,purchase_date,purchase_frequency,average_order_value,customer_age,location,lifetime_value
1,2018-01-01,2,50,25,urban,1000
2,2019-03-15,4,75,30,suburban,2500
3,2017-06-20,1,25,20,rural,500
4,2018-09-01,3,100,35,urban,3000
5,2019-01-01,2,50,28,suburban,1500
6,2017-03-15,1,25,22,rural,500
7,2018-06-20,4,75,32,urban,3500
8,2019-09-01,3,100,38,suburban,4000
9,2017-09-01,2,50,25,urban,2000
10,2018-03-15,1,25,20,rural,500
11,2019-06-20,4,75,35,urban,4500
12,2017-01-01,3,100,30,suburban,3000
13,2018-09-01,2,50,28,urban,2500
14,2019-03-15,1,25,22,rural,500
15,2017-06-20,4,75,32,urban,3500